window_size,sma_window_size,best_silhouette_score,best_count_of_clusters
2,10,0.8201928046528019,2
2,11,0.8102098381450167,2
2,12,0.8012995564392135,2
2,13,0.7959547704923896,2
2,14,0.7789883005058421,2
2,15,0.7714687877363855,2
2,16,0.7669915597598789,2
2,17,0.7582448468359653,2
2,18,0.7558118658289514,2
2,19,0.75011726658642,2
2,20,0.7418642867304417,2
2,21,0.7422209687591611,2
2,22,0.743195928779318,2
2,23,0.7366290935695281,2
2,24,0.731091544441783,2
2,25,0.719895143329942,2
2,26,0.7161992395031858,2
2,27,0.7155782038262669,2
2,28,0.7110895681159943,2
2,29,0.7067012398082395,2
2,30,0.7049587698617836,2
2,31,0.7046529884498239,2
2,32,0.7031566078496154,2
2,33,0.7000756504393583,2
2,34,0.6937556730700412,2
2,35,0.686961186415414,2
2,36,0.6854541889183052,2
2,37,0.6807177262552824,2
2,38,0.6811408959687442,2
2,39,0.6813496910580871,2
2,40,0.6853752638232881,2
2,41,0.6896047504880658,2
2,42,0.6888681845290577,2
2,43,0.6841280203184796,2
2,44,0.6810407980318778,2
2,45,0.6735180147614358,2
2,46,0.6758002165182264,2
2,47,0.676452161941592,2
2,48,0.6786858897466098,2
2,49,0.680170083524575,2
3,10,0.6120920635410234,5
3,11,0.6155390469794865,5
3,12,0.5891124941102357,6
3,13,0.6717572032063988,4
3,14,0.6489798317866629,4
3,15,0.6350889189720944,4
3,16,0.6261257063627326,4
3,17,0.5374917948858615,6
3,18,0.5453022888254715,7
3,19,0.6054334963815257,4
3,20,0.5083029785816469,6
3,21,0.5362566634759062,5
3,22,0.5901739452982873,4
3,23,0.5871570274719566,4
3,24,0.50257913317013,6
3,25,0.5618753212230853,4
3,26,0.5560271591640525,4
3,27,0.5565097465623992,4
3,28,0.5524210857233384,4
3,29,0.5465891334074104,4
3,30,0.5392136043297255,4
3,31,0.5414710447299153,4
3,32,0.4941161284416558,5
3,33,0.5364593404821613,4
3,34,0.49781942466305856,6
3,35,0.5390145089776326,8
3,36,0.5406957935726255,8
3,37,0.5381715154191452,8
3,38,0.503751307756674,7
3,39,0.5340549824165836,8
3,40,0.5306493645916809,8
3,41,0.5303756591493995,8
3,42,0.5204920646977094,4
3,43,0.543341290254156,8
3,44,0.5116846649023334,7
3,45,0.5485029625893273,8
3,46,0.5216698908338233,7
3,47,0.5062181721056562,4
3,48,0.5356247887035114,8
3,49,0.557100567550467,7
4,10,0.5607939208266544,7
4,11,0.5455124042593457,7
4,12,0.5602996347886429,7
4,13,0.5571478896246345,7
4,14,0.5338255482322374,7
4,15,0.4934930233308607,7
4,16,0.4595277295032577,9
4,17,0.44798842445859577,6
4,18,0.45574057971481086,8
4,19,0.4827487030875436,7
4,20,0.4280372908982406,6
4,21,0.45392210701877345,9
4,22,0.46902329328701997,13
4,23,0.4439515205600911,10
4,24,0.4727711451193453,8
4,25,0.4479618753129677,12
4,26,0.4262370743307787,11
4,27,0.4317962666303254,7
4,28,0.43753401019331783,7
4,29,0.4099837085043132,6
